id,head_office_user_id,reference_id,name,date,is_working,created_at,updated_at
2,1,54,St Andrew’s Day,2023-11-30,1,2023-10-30 21:51:39,2023-10-30 21:51:39
3,1,61,Christmas Day,2023-12-25,1,2023-10-30 21:51:50,2023-10-30 21:51:50
4,1,62,Boxing Day,2023-12-26,1,2023-10-30 21:51:54,2024-07-26 12:32:39
5,1,63,New Year’s Day,2024-01-01,1,2023-12-19 19:39:59,2023-12-19 19:39:59
6,1,70,Summer bank holiday,2024-08-26,1,2024-07-26 12:33:16,2024-07-26 12:34:23
8,1,72,Boxing Day,2024-12-26,0,2024-10-28 15:46:32,2024-10-28 15:46:32
9,102,65,Good Friday,2025-04-18,0,2025-03-28 19:33:58,2025-03-28 19:33:58
10,102,70,Summer bank holiday,2025-08-25,0,2025-03-28 19:34:27,2025-03-28 19:34:27
11,152,65,Good Friday,2025-04-18,0,2025-04-14 18:34:14,2025-04-14 18:34:14
12,152,66,Easter Monday,2025-04-21,0,2025-04-14 18:35:00,2025-04-14 18:35:00
13,152,67,Early May bank holiday,2025-05-05,0,2025-04-14 18:35:10,2025-04-14 18:35:10
14,152,68,Spring bank holiday,2025-05-26,0,2025-04-14 18:35:25,2025-04-14 18:35:25
15,152,69,Battle of the Boyne (Orangemen’s Day),2025-07-14,0,2025-04-14 18:35:34,2025-04-14 18:35:34
16,152,62,Summer bank holiday,2025-08-04,1,2025-04-14 18:39:10,2025-04-14 18:39:10
17,152,70,Summer bank holiday,2025-08-25,1,2025-04-14 18:39:31,2025-04-14 18:39:31
18,166,70,Summer bank holiday,2025-08-25,0,2025-04-14 22:13:22,2025-04-14 22:13:22
19,210,68,Spring bank holiday,2025-05-26,0,2025-05-13 19:09:11,2025-05-13 19:09:11
20,210,69,Battle of the Boyne (Orangemen’s Day),2025-07-14,1,2025-05-13 19:09:28,2025-05-13 19:09:28
21,210,62,Summer bank holiday,2025-08-04,0,2025-05-13 19:10:28,2025-05-13 19:10:28
22,210,70,Summer bank holiday,2025-08-25,0,2025-05-13 19:10:37,2025-05-13 19:10:37
