id,head_office_id,head_office_user_id,profile_name,system_default_profile,super_access,is_manage_forms,is_manage_company_account,is_manage_team,is_manage_location_users,is_manage_alert_settings,is_access_company_activity_log,is_access_contacts,user_can_view,bypass_case_handler,is_allocated,custom_access_rights_id,created_at,updated_at,is_access_locations,locations,is_access_case_manager,is_access_dashboard,is_access_tasks,task_access_type,task_access_users,task_access_assigned_sites
1,1,,Super User,1,1,1,1,1,1,1,1,1,,0,0,,2024-03-22 08:25:47,2024-03-22 08:25:47,1,,1,0,0,,,
2,1,,Testing,0,0,1,1,0,0,0,0,0,,0,0,,2024-03-22 16:31:48,2024-10-15 01:33:10,0,,0,0,0,,,
3,3,,Super User,1,1,1,1,1,1,1,1,1,,0,0,,2024-06-17 13:56:20,2024-06-17 13:56:20,1,,1,0,0,,,
4,4,,Super User,1,1,1,1,1,1,1,1,1,,0,0,,2024-06-17 15:32:25,2024-06-17 15:32:25,1,,1,0,0,,,
5,1,,Admin,0,0,1,1,0,0,0,0,0,,0,0,,2024-08-05 13:25:48,2025-01-08 15:14:40,0,,0,0,0,,,
13,13,19,Super User,1,1,1,1,1,1,1,1,1,,0,0,,2024-08-09 20:37:16,2024-08-09 20:37:16,1,,1,0,0,,,
14,14,21,Super User,1,1,1,1,1,1,1,1,1,,0,0,,2024-08-27 17:05:50,2024-08-27 17:05:50,1,,1,0,0,,,
15,15,22,Super User,1,1,1,1,1,1,1,1,1,,0,0,,2024-08-27 17:58:14,2024-08-27 17:58:14,1,,1,0,0,,,
16,16,23,Super User,1,1,1,1,1,1,1,1,1,,0,0,,2024-08-29 16:59:24,2024-08-29 16:59:24,1,,1,0,0,,,
17,17,24,Super User,1,1,1,1,1,1,1,1,1,,0,0,,2024-09-02 16:13:41,2024-09-02 16:13:41,1,,1,0,0,,,
18,18,32,Super User,1,1,1,1,1,1,1,1,1,,0,0,,2024-09-02 21:49:24,2024-09-02 21:49:24,1,,1,0,0,,,
19,19,33,Super User,1,1,1,1,1,1,1,1,1,,0,0,,2024-09-02 21:49:32,2024-09-02 21:49:32,1,,1,0,0,,,
20,18,,Case Handler,0,0,0,0,0,0,0,0,0,,0,0,,2024-09-03 14:11:57,2024-09-03 14:11:57,0,,0,0,0,,,
22,17,,"<span style=""color:red;"">abc</span>",0,0,0,0,0,0,0,0,0,,0,0,,2024-09-03 16:58:53,2024-09-03 17:02:50,0,,0,0,0,,,
29,17,,2nd super,0,0,1,1,0,1,1,1,1,,0,0,,2024-09-03 17:26:48,2024-09-03 17:27:18,0,,0,0,0,,,
30,17,,csrf test,0,0,0,0,0,0,0,0,0,,0,0,,2024-09-03 17:28:45,2024-09-03 17:28:45,0,,0,0,0,,,
31,17,,csrf test2,0,0,0,0,0,0,0,0,0,,0,0,,2024-09-03 17:29:06,2024-09-03 17:29:06,0,,0,0,0,,,
33,20,41,Super User,1,1,1,1,1,1,1,1,1,,0,0,,2024-09-06 01:11:41,2024-09-06 01:11:41,1,,1,0,0,,,
39,22,42,Super User,1,1,1,1,1,1,1,1,1,,0,0,,2024-10-07 21:58:17,2024-10-07 21:58:17,1,,1,0,0,,,
40,14,,Assistant,0,0,1,1,0,1,1,1,1,,0,0,,2024-10-08 15:01:35,2025-01-08 15:18:36,0,,0,0,0,,,
