id,head_office_user_id,away_from,return_on,total_days,type,linked_api_holiday_id,created_at,updated_at
10,1,2024-12-26,2024-12-27,1,Boxing Day,8,2024-10-28 15:46:32,2024-10-28 15:46:32
11,102,2025-05-12,2025-05-19,7,Annual leave,,2025-03-28 19:29:42,2025-03-28 19:29:42
12,102,2025-04-18,2025-04-19,1,Good Friday,9,2025-03-28 19:33:58,2025-03-28 19:33:58
19,152,2025-05-05,2025-05-11,6,Annual Leave,,2025-04-14 18:40:00,2025-04-14 18:40:00
20,166,2025-08-25,2025-08-26,1,Summer bank holiday,18,2025-04-14 22:13:22,2025-04-14 22:13:22
21,210,2025-05-26,2025-05-27,1,Spring bank holiday,19,2025-05-13 19:09:11,2025-05-13 19:09:11
22,210,2025-08-04,2025-08-05,1,Summer bank holiday,21,2025-05-13 19:10:28,2025-05-13 19:10:28
23,210,2025-08-25,2025-08-26,1,Summer bank holiday,22,2025-05-13 19:10:37,2025-05-13 19:10:37
24,213,2025-08-25,2025-08-26,1,Summer bank holiday,23,2025-05-14 14:27:56,2025-05-14 14:27:56
25,213,2025-08-04,2025-08-05,1,Summer bank holiday,24,2025-05-14 14:28:11,2025-05-14 14:28:11
29,65,2025-08-11,2025-08-31,20,ok,,2025-08-11 13:49:03,2025-08-11 13:49:03
31,218,2025-10-27,2025-11-03,7,Annual Leave,,2025-09-23 21:59:45,2025-09-23 21:59:45
