id,head_office_id,profile_name,system_default_profile,super_access,created_at,updated_at
1,1,Super User,1,1,2023-06-19 19:13:33,2023-06-19 19:13:33
3,3,Super User,1,1,2024-06-17 13:04:35,2024-06-17 13:04:35
4,4,Super User,1,1,2024-06-17 15:32:24,2024-06-17 15:32:24
11,12,Super User,1,1,2024-08-09 19:12:10,2024-08-09 19:12:10
12,13,Super User,1,1,2024-08-09 20:37:16,2024-08-09 20:37:16
13,14,Super User,1,1,2024-08-27 17:05:50,2024-08-27 17:05:50
14,15,Super User,1,1,2024-08-27 17:58:14,2024-08-27 17:58:14
15,16,Super User,1,1,2024-08-29 16:59:24,2024-08-29 16:59:24
16,17,Super User,1,1,2024-09-02 16:13:41,2024-09-02 16:13:41
17,18,Super User,1,1,2024-09-02 21:49:24,2024-09-02 21:49:24
18,19,Super User,1,1,2024-09-02 21:49:32,2024-09-02 21:49:32
