id,monday_start_time,monday_end_time,tuesday_start_time,tuesday_end_time,wednesday_start_time,wednesday_end_time,thursday_start_time,thursday_end_time,friday_start_time,friday_end_time,saturday_start_time,saturday_end_time,sunday_start_time,sunday_end_time,is_open_monday,is_open_tuesday,is_open_wednesday,is_open_thursday,is_open_friday,is_open_saturday,is_open_sunday,created_at,updated_at
1,,,2:10:00,3:10:00,,,,,,,,,,,1,0,0,0,0,0,0,2023-06-19 14:45:38,2025-01-02 11:10:57
7,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2024-06-17 13:55:33,2024-06-17 22:19:54
18,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2024-08-24 22:36:37,2024-08-24 22:36:37
21,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2024-10-27 09:39:06,2024-10-27 09:39:06
24,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2024-09-02 18:32:54,2024-09-02 18:32:54
25,"-1 day, 14:15:00",,,,,,,,,,,,,,0,0,0,0,0,0,0,2024-09-03 14:58:26,2024-09-03 16:49:18
32,9:00:00,17:00:00,9:00:00,17:00:00,9:00:00,17:00:00,9:00:00,17:00:00,9:00:00,17:00:00,,,,,1,1,1,1,1,0,0,2024-09-02 22:07:55,2024-09-02 22:19:27
35,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2024-09-10 11:07:35,2024-09-10 11:07:35
36,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2024-10-10 10:40:46,2024-10-10 10:40:46
37,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2024-09-03 17:06:21,2024-09-03 17:06:21
39,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2024-09-04 21:00:02,2024-09-04 21:00:02
40,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2024-09-03 17:51:32,2024-09-03 17:51:32
42,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2024-10-07 22:03:52,2024-10-07 22:03:52
43,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2024-10-09 17:15:57,2024-10-09 17:15:57
44,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2025-01-17 18:48:23,2025-01-17 18:48:23
46,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2024-10-17 14:54:30,2024-10-17 14:54:30
47,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2024-10-21 15:25:20,2024-10-21 15:25:20
50,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2024-10-23 11:29:28,2024-10-23 11:29:28
54,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2024-10-29 17:25:08,2024-10-29 17:25:08
55,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2024-11-28 15:09:32,2024-11-28 15:09:32
