id,user_id,head_office_id,level,created_at,updated_at,position,work_status,location,about_me,user_can_view,bypass_case_handler,certain_locations,assigned_locations,is_allocated,is_active,is_blocked,is_code_show,block_comment,do_not_disturb,deleted_at,job_id,is_access_to_dashboard
1,1,1,1,2023-06-17 20:00:36,2025-01-02 22:15:24,Branch Manager,1,,Future Developer,"{""1"": [1]}",0,,"[""1""]",0,0,0,0,,1,,,0
6,7,1,,2024-03-22 16:45:47,2025-01-02 12:20:47,exective,,,ftyyu,,0,,,0,0,1,0,Not Needed,0,,,0
7,1004,3,1,2024-06-17 13:04:35,2024-10-20 16:44:58,Superintendent,0,,,,0,,,0,0,0,0,,0,,,0
8,7,4,1,2024-06-17 15:32:22,2024-10-02 15:19:06,exective,,,,,0,,,0,0,0,0,,0,,,0
9,1012,1,,2024-08-07 12:34:54,2025-01-02 12:20:27,dfsds,,,,,0,,,0,0,0,0,Not Needed,0,,,0
18,1,12,1,2024-08-09 19:16:47,2025-01-02 22:45:04,exective,,,,"{""1"": [1]}",0,,,0,0,0,0,,0,,,0
19,1013,13,,2024-08-09 20:37:16,2024-08-09 20:37:16,,,,,,0,,,0,0,0,0,,0,,,0
20,1012,13,1,2024-08-10 12:58:26,2024-08-10 12:58:26,exective,,,,,0,,,0,0,0,0,,0,,,0
21,1015,14,,2024-08-27 17:05:50,2025-12-09 19:43:38,CEO,1,,,"{""1"": [1]}",0,,,0,0,0,0,,0,,,0
22,1016,15,,2024-08-27 17:58:14,2024-10-17 05:07:37,,,,,,0,,,0,0,0,0,,0,,,0
23,1018,16,,2024-08-29 16:59:24,2024-08-29 16:59:24,,,,,,0,,,0,0,0,0,,0,,,0
24,1019,17,,2024-09-02 16:13:41,2024-09-03 17:59:52,"<span style=""color:red;"">afec</span>",4,,asdeeeeeeeeeeeeeeeeeeeeeef,,0,,,0,0,0,0,,0,,,0
25,1021,17,,2024-09-02 18:59:49,2024-09-03 17:33:42,"<span style=""color:red;"">abc</span>",,,asdd,"{""2"": 2}",0,,,0,0,0,0,,0,,,0
32,1023,18,,2024-09-02 21:49:24,2024-10-25 18:34:36,Director,,,I'm a director of QI-Tech,"{""1"": [1]}",0,,"[""41""]",0,0,0,0,,0,,,0
33,1004,19,,2024-09-02 21:49:32,2024-09-02 21:49:32,,,,,,0,,,0,0,0,0,,0,,,0
35,1015,18,,2024-09-03 14:23:32,2025-03-16 23:53:58,Supervisor,,,,[],0,,,0,0,0,0,,0,,,0
36,1015,1,,2024-09-03 15:55:17,2025-03-10 10:41:26,Manager,0,,,"{""1"": [1]}",0,,,0,0,0,0,,0,,,0
37,1,18,,2024-09-03 16:24:56,2024-12-12 13:15:40,Business Analyst,,,,"{""1"": [1]}",0,,,0,0,0,0,,0,,,0
39,1024,18,,2024-09-03 17:02:12,2025-02-17 13:29:15,Business Analyst,,,,"{""1"": [1]}",0,,"[""40""]",0,0,0,0,,0,,,0
40,1025,17,,2024-09-03 17:09:41,2024-09-03 17:59:31,Someone32,,,32,,0,,,0,0,0,0,,0,,,0
