id,user_profile_id,head_office_user_id,created_at,updated_at
1,1,1,2023-11-06 18:50:05,2023-11-06 18:50:05
3,1,6,2024-03-22 16:45:47,2025-02-28 20:15:32
4,3,7,2024-06-17 13:04:36,2024-06-17 13:04:36
5,4,8,2024-06-17 15:32:25,2024-06-17 15:32:25
6,1,9,2024-08-07 12:34:54,2024-08-07 12:34:54
25,14,22,2024-08-27 17:58:14,2024-08-27 17:58:14
26,15,23,2024-08-29 16:59:24,2024-08-29 16:59:24
27,30,24,2024-09-02 16:13:41,2024-09-16 14:30:07
29,18,32,2024-09-02 21:49:24,2024-09-10 17:10:15
30,18,33,2024-09-02 21:49:32,2024-09-02 21:49:32
32,18,35,2024-09-03 14:23:32,2024-09-03 14:23:32
37,29,25,2024-09-03 16:42:22,2024-09-03 17:26:55
38,20,37,2024-09-03 16:51:58,2024-09-03 16:51:58
39,18,39,2024-09-03 17:02:12,2024-09-03 17:02:12
40,17,40,2024-09-03 17:09:41,2024-09-03 17:19:49
41,33,41,2024-09-06 01:11:41,2024-09-06 01:11:41
44,5,36,2024-10-02 15:25:59,2024-10-02 15:33:02
45,39,42,2024-10-07 21:58:17,2024-10-07 21:58:17
46,41,43,2024-10-09 16:59:59,2024-10-09 18:30:15
47,1,44,2024-10-11 15:51:48,2024-10-11 15:51:48
