id,user_id,location_id,type,created_at,updated_at
1,1,1,,2023-06-17 19:57:00,2023-06-17 19:57:00
2,7,1,,2024-03-23 09:22:42,2024-03-23 09:22:42
3,1001,1,,2024-05-27 16:16:25,2024-05-27 16:16:25
4,1,6,,2024-07-18 21:14:15,2024-07-18 21:14:15
5,1005,1,,2024-07-24 19:23:37,2024-07-24 19:23:37
6,1013,1,,2024-08-07 12:49:59,2024-08-07 12:49:59
7,1001,69,,2024-08-09 19:24:56,2024-08-09 19:24:56
8,1015,72,,2024-08-27 18:31:12,2024-08-27 18:31:12
9,1001,79,,2024-09-10 00:13:44,2025-03-17 01:53:44
10,1,87,,2024-10-25 10:30:46,2024-10-25 10:30:46
11,1001,85,,2024-10-25 18:19:40,2024-10-25 18:19:40
12,1004,85,,2024-10-25 18:44:07,2024-10-25 18:44:07
13,1001,103,,2025-01-02 19:58:35,2025-01-02 19:58:35
14,1045,104,,2025-01-03 10:42:38,2025-01-03 10:42:38
15,1034,1,,2025-01-03 12:06:27,2025-01-03 12:06:27
16,1034,105,,2025-01-03 15:50:24,2025-01-03 15:50:24
17,1056,1,,2025-01-03 19:35:59,2025-01-03 19:35:59
18,1045,109,,2025-02-04 18:35:22,2025-02-04 18:35:22
19,1015,105,,2025-02-23 16:02:42,2025-02-23 16:02:42
20,1063,103,,2025-02-24 18:47:15,2025-02-24 18:47:15
