id,head_office_access_rights_id,chart_configuration_id,show_all_sites,created_at,updated_at
133,85,1,1,2025-12-11 20:28:31,2025-12-11 20:28:31
134,85,2,1,2025-12-11 20:28:31,2025-12-11 20:28:31
135,85,3,1,2025-12-11 20:28:31,2025-12-11 20:28:31
136,85,4,1,2025-12-11 20:28:31,2025-12-11 20:28:31
137,85,5,1,2025-12-11 20:28:31,2025-12-11 20:28:31
138,85,6,1,2025-12-11 20:28:31,2025-12-11 20:28:31
139,85,61,1,2025-12-11 20:28:31,2025-12-11 20:28:31
140,85,57,1,2025-12-11 20:28:31,2025-12-11 20:28:31
141,85,50,1,2025-12-11 20:28:31,2025-12-11 20:28:31
142,85,58,1,2025-12-11 20:28:31,2025-12-11 20:28:31
143,85,59,1,2025-12-11 20:28:31,2025-12-11 20:28:31
144,85,60,1,2025-12-11 20:28:31,2025-12-11 20:28:31
148,75,58,0,2026-01-12 14:04:19,2026-01-12 14:04:19
149,75,59,0,2026-01-12 14:04:19,2026-01-12 14:04:19
150,75,60,0,2026-01-12 14:04:19,2026-01-12 14:04:19
153,86,57,1,2026-01-15 12:55:13,2026-01-15 12:55:13
154,86,50,1,2026-01-15 12:55:13,2026-01-15 12:55:13
