id,head_office_access_rights_id,report_id,show_all_sites,created_at,updated_at
579,110,41,0,2025-10-23 12:23:53,2025-10-23 12:23:53
752,85,1,1,2025-12-11 20:28:31,2025-12-11 20:28:31
753,85,4,1,2025-12-11 20:28:31,2025-12-11 20:28:31
754,85,6,1,2025-12-11 20:28:31,2025-12-11 20:28:31
755,85,10,1,2025-12-11 20:28:31,2025-12-11 20:28:31
756,85,30,1,2025-12-11 20:28:31,2025-12-11 20:28:31
757,85,12,1,2025-12-11 20:28:31,2025-12-11 20:28:31
758,85,36,1,2025-12-11 20:28:31,2025-12-11 20:28:31
759,85,38,1,2025-12-11 20:28:31,2025-12-11 20:28:31
760,85,5,1,2025-12-11 20:28:31,2025-12-11 20:28:31
761,85,14,1,2025-12-11 20:28:31,2025-12-11 20:28:31
762,85,26,1,2025-12-11 20:28:31,2025-12-11 20:28:31
763,85,7,1,2025-12-11 20:28:31,2025-12-11 20:28:31
764,85,8,1,2025-12-11 20:28:31,2025-12-11 20:28:31
765,85,9,1,2025-12-11 20:28:31,2025-12-11 20:28:31
766,85,22,1,2025-12-11 20:28:31,2025-12-11 20:28:31
767,85,24,1,2025-12-11 20:28:31,2025-12-11 20:28:31
768,85,27,1,2025-12-11 20:28:31,2025-12-11 20:28:31
769,85,28,1,2025-12-11 20:28:31,2025-12-11 20:28:31
770,85,11,1,2025-12-11 20:28:31,2025-12-11 20:28:31
