id,user_id,action_type,target_type,target_id,description,old_values,new_values,ip_address,user_agent,created_at,updated_at
1,65,profile_updated,profile,184,Updated profile: Minahil's Assistant,"{""profile_name"": ""Minahil's Assistant"", ""is_manage_team"": 0, ""is_access_tasks"": 0, ""is_manage_forms"": 1, ""task_access_type"": null, ""task_access_users"": null, ""is_access_contacts"": 0, ""is_access_dashboard"": 0, ""is_access_locations"": 0, ""is_access_case_manager"": 0, ""is_manage_alert_settings"": 0, ""is_manage_location_users"": 0, ""is_manage_company_account"": 1, ""task_access_assigned_sites"": null, ""is_access_company_activity_log"": 0}","{""profile_name"": ""Minahil's Assistant"", ""is_manage_team"": false, ""is_access_tasks"": true, ""is_manage_forms"": true, ""task_access_type"": [""own_tasks""], ""task_access_users"": null, ""is_access_contacts"": true, ""is_access_dashboard"": true, ""is_access_locations"": true, ""is_access_case_manager"": true, ""is_manage_alert_settings"": true, ""is_manage_location_users"": false, ""is_manage_company_account"": true, ""task_access_assigned_sites"": null, ""is_access_company_activity_log"": false}",154.208.43.201,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0",2025-12-22 12:29:28,2025-12-22 12:29:28
2,65,profile_created,profile,185,Created new profile: Amjad's Testing,,"{""profile_name"": ""Amjad's Testing"", ""is_manage_team"": false, ""is_access_tasks"": false, ""is_manage_forms"": true, ""task_access_type"": null, ""task_access_users"": null, ""is_access_contacts"": false, ""is_access_dashboard"": false, ""is_access_locations"": false, ""is_access_case_manager"": false, ""is_manage_alert_settings"": false, ""is_manage_location_users"": false, ""is_manage_company_account"": true, ""task_access_assigned_sites"": null, ""is_access_company_activity_log"": false}",154.208.43.201,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0",2025-12-22 12:29:53,2025-12-22 12:29:53
3,65,user_updated,user,73,Minahil  Hamza updated First Name  Sur Name's details,"{""about_me"": null, ""position"": ""Manager"", ""is_allocated"": ""1"", ""user_can_view"": ""{\""1\"": [1], \""checkbox_settings\"": {\""1\"": true, \""2\"": false, \""3\"": false, \""4\"": false, \""5\"": false, \""6\"": false}}"", ""assigned_profile"": 71, ""bypass_case_handler"": ""0""}","{""about_me"": null, ""position"": ""Manager"", ""is_allocated"": ""0"", ""user_can_view"": null, ""assigned_profile"": 185, ""bypass_case_handler"": ""0""}",154.208.43.201,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0",2025-12-22 12:30:20,2025-12-22 12:30:20
4,65,user_access_rights_updated,user,147,Minahil  Hamza updated access rights for INVITE  User,,"{""locations"": ""null"", ""is_manage_team"": false, ""is_access_tasks"": 0, ""is_manage_forms"": true, ""is_access_contacts"": false, ""is_access_dashboard"": 0, ""is_access_locations"": false, ""is_access_case_manager"": false, ""is_manage_alert_settings"": true, ""is_manage_location_users"": false, ""is_manage_company_account"": true, ""is_access_company_activity_log"": false}",154.208.43.201,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0",2025-12-22 12:32:21,2025-12-22 12:32:21
5,264,profile_created,profile,187,Created new profile: Testing Logs,,"{""profile_name"": ""Testing Logs"", ""is_manage_team"": false, ""is_access_tasks"": false, ""is_manage_forms"": true, ""task_access_type"": null, ""task_access_users"": null, ""is_access_contacts"": false, ""is_access_dashboard"": false, ""is_access_locations"": false, ""is_access_case_manager"": false, ""is_manage_alert_settings"": false, ""is_manage_location_users"": false, ""is_manage_company_account"": false, ""task_access_assigned_sites"": null, ""is_access_company_activity_log"": false}",39.37.158.13,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",2025-12-22 15:24:23,2025-12-22 15:24:23
6,235,user_access_rights_updated,user,84,Emma Laura Pamela Barker updated access rights for Alisha  Summers,"{""locations"": ""null"", ""is_manage_team"": 0, ""is_access_tasks"": 1, ""is_manage_forms"": 1, ""is_access_contacts"": 0, ""is_access_dashboard"": 1, ""is_access_locations"": 1, ""is_access_case_manager"": 1, ""is_manage_alert_settings"": 0, ""is_manage_location_users"": 0, ""is_manage_company_account"": 0, ""is_access_company_activity_log"": 0}","{""locations"": ""null"", ""is_manage_team"": 0, ""is_access_tasks"": 1, ""is_manage_forms"": 1, ""is_access_contacts"": 0, ""is_access_dashboard"": ""1"", ""is_access_locations"": 1, ""is_access_case_manager"": 1, ""is_manage_alert_settings"": 0, ""is_manage_location_users"": 0, ""is_manage_company_account"": 0, ""is_access_company_activity_log"": 0}",86.27.246.33,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0",2025-12-30 13:53:16,2025-12-30 13:53:16
7,264,profile_created,profile,189,Created new profile: Test Profile,,"{""profile_name"": ""Test Profile"", ""is_manage_team"": false, ""is_access_tasks"": false, ""is_manage_forms"": false, ""task_access_type"": null, ""task_access_users"": null, ""is_access_contacts"": false, ""is_access_dashboard"": false, ""is_access_locations"": false, ""is_access_case_manager"": false, ""is_manage_alert_settings"": false, ""is_manage_location_users"": false, ""is_manage_company_account"": false, ""task_access_assigned_sites"": null, ""is_access_company_activity_log"": false}",39.37.158.13,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",2025-12-30 14:43:30,2025-12-30 14:43:30
8,264,profile_updated,profile,189,Updated profile: Test Profile,"{""profile_name"": ""Test Profile"", ""is_manage_team"": 0, ""is_access_tasks"": 0, ""is_manage_forms"": 0, ""task_access_type"": null, ""task_access_users"": null, ""is_access_contacts"": 0, ""is_access_dashboard"": 0, ""is_access_locations"": 0, ""is_access_case_manager"": 0, ""is_manage_alert_settings"": 0, ""is_manage_location_users"": 0, ""is_manage_company_account"": 0, ""task_access_assigned_sites"": null, ""is_access_company_activity_log"": 0}","{""profile_name"": ""Test Profile"", ""is_manage_team"": false, ""is_access_tasks"": false, ""is_manage_forms"": false, ""task_access_type"": [""own_tasks""], ""task_access_users"": null, ""is_access_contacts"": false, ""is_access_dashboard"": true, ""is_access_locations"": false, ""is_access_case_manager"": false, ""is_manage_alert_settings"": false, ""is_manage_location_users"": false, ""is_manage_company_account"": false, ""task_access_assigned_sites"": null, ""is_access_company_activity_log"": false}",128.94.9.15,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",2025-12-30 14:47:45,2025-12-30 14:47:45
9,264,user_access_rights_updated,user,276,Test  User updated access rights for Tes User Minhas,,"{""locations"": null, ""is_manage_team"": 0, ""is_access_tasks"": 0, ""is_manage_forms"": 0, ""is_access_contacts"": 0, ""is_access_dashboard"": ""1"", ""is_access_locations"": 0, ""is_access_case_manager"": 0, ""is_manage_alert_settings"": 0, ""is_manage_location_users"": 0, ""is_manage_company_account"": 0, ""is_access_company_activity_log"": 0}",128.94.9.45,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",2025-12-30 17:09:54,2025-12-30 17:09:54
10,264,user_access_rights_updated,user,276,Test  User updated access rights for Tes User Minhas,"{""locations"": null, ""is_manage_team"": 0, ""is_access_tasks"": 0, ""is_manage_forms"": 0, ""is_access_contacts"": 0, ""is_access_dashboard"": 1, ""is_access_locations"": 0, ""is_access_case_manager"": 0, ""is_manage_alert_settings"": 0, ""is_manage_location_users"": 0, ""is_manage_company_account"": 0, ""is_access_company_activity_log"": 0}","{""locations"": null, ""is_manage_team"": 0, ""is_access_tasks"": 0, ""is_manage_forms"": 0, ""is_access_contacts"": 0, ""is_access_dashboard"": ""1"", ""is_access_locations"": 0, ""is_access_case_manager"": 0, ""is_manage_alert_settings"": 0, ""is_manage_location_users"": 0, ""is_manage_company_account"": 0, ""is_access_company_activity_log"": 0}",128.94.9.45,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",2025-12-30 17:10:46,2025-12-30 17:10:46
11,264,user_access_rights_updated,user,276,Test  User updated access rights for Tes User Minhas,"{""locations"": null, ""is_manage_team"": 0, ""is_access_tasks"": 0, ""is_manage_forms"": 0, ""is_access_contacts"": 0, ""is_access_dashboard"": 1, ""is_access_locations"": 0, ""is_access_case_manager"": 0, ""is_manage_alert_settings"": 0, ""is_manage_location_users"": 0, ""is_manage_company_account"": 0, ""is_access_company_activity_log"": 0}","{""locations"": null, ""is_manage_team"": 0, ""is_access_tasks"": 0, ""is_manage_forms"": 0, ""is_access_contacts"": 0, ""is_access_dashboard"": ""0"", ""is_access_locations"": 0, ""is_access_case_manager"": 0, ""is_manage_alert_settings"": 0, ""is_manage_location_users"": 0, ""is_manage_company_account"": 0, ""is_access_company_activity_log"": 0}",128.94.9.45,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",2025-12-30 17:11:20,2025-12-30 17:11:20
12,264,user_access_rights_updated,user,276,Test  User updated access rights for Tes User Minhas,"{""locations"": null, ""is_manage_team"": 0, ""is_access_tasks"": 0, ""is_manage_forms"": 0, ""is_access_contacts"": 0, ""is_access_dashboard"": 1, ""is_access_locations"": 0, ""is_access_case_manager"": 0, ""is_manage_alert_settings"": 0, ""is_manage_location_users"": 0, ""is_manage_company_account"": 0, ""is_access_company_activity_log"": 0}","{""locations"": null, ""is_manage_team"": 0, ""is_access_tasks"": 0, ""is_manage_forms"": 0, ""is_access_contacts"": 0, ""is_access_dashboard"": ""1"", ""is_access_locations"": 0, ""is_access_case_manager"": 0, ""is_manage_alert_settings"": 0, ""is_manage_location_users"": 0, ""is_manage_company_account"": 0, ""is_access_company_activity_log"": 0}",128.94.9.45,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",2025-12-30 17:12:57,2025-12-30 17:12:57
13,264,user_access_rights_updated,user,276,Test  User updated access rights for Tes User Minhas,"{""locations"": null, ""is_manage_team"": 0, ""is_access_tasks"": 0, ""is_manage_forms"": 0, ""is_access_contacts"": 0, ""is_access_dashboard"": 1, ""is_access_locations"": 0, ""is_access_case_manager"": 0, ""is_manage_alert_settings"": 0, ""is_manage_location_users"": 0, ""is_manage_company_account"": 0, ""is_access_company_activity_log"": 0}","{""locations"": null, ""is_manage_team"": 0, ""is_access_tasks"": 0, ""is_manage_forms"": 0, ""is_access_contacts"": 0, ""is_access_dashboard"": ""1"", ""is_access_locations"": 0, ""is_access_case_manager"": 0, ""is_manage_alert_settings"": 0, ""is_manage_location_users"": 0, ""is_manage_company_account"": 0, ""is_access_company_activity_log"": 0}",128.94.9.45,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",2025-12-30 17:13:27,2025-12-30 17:13:27
14,264,user_access_rights_updated,user,276,Test  User updated access rights for Tes User Minhas,"{""locations"": null, ""is_manage_team"": 0, ""is_access_tasks"": 0, ""is_manage_forms"": 0, ""is_access_contacts"": 0, ""is_access_dashboard"": 1, ""is_access_locations"": 0, ""is_access_case_manager"": 0, ""is_manage_alert_settings"": 0, ""is_manage_location_users"": 0, ""is_manage_company_account"": 0, ""is_access_company_activity_log"": 0}","{""locations"": null, ""is_manage_team"": 0, ""is_access_tasks"": 0, ""is_manage_forms"": 0, ""is_access_contacts"": 0, ""is_access_dashboard"": ""0"", ""is_access_locations"": 0, ""is_access_case_manager"": 0, ""is_manage_alert_settings"": 0, ""is_manage_location_users"": 0, ""is_manage_company_account"": 0, ""is_access_company_activity_log"": 0}",128.94.9.45,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",2025-12-30 17:13:47,2025-12-30 17:13:47
15,264,user_access_rights_updated,user,276,Test  User updated access rights for Tes User Minhas,"{""locations"": null, ""is_manage_team"": 0, ""is_access_tasks"": 0, ""is_manage_forms"": 0, ""is_access_contacts"": 0, ""is_access_dashboard"": 1, ""is_access_locations"": 0, ""is_access_case_manager"": 0, ""is_manage_alert_settings"": 0, ""is_manage_location_users"": 0, ""is_manage_company_account"": 0, ""is_access_company_activity_log"": 0}","{""locations"": null, ""is_manage_team"": 0, ""is_access_tasks"": 0, ""is_manage_forms"": 0, ""is_access_contacts"": 0, ""is_access_dashboard"": ""1"", ""is_access_locations"": 0, ""is_access_case_manager"": 0, ""is_manage_alert_settings"": 0, ""is_manage_location_users"": 0, ""is_manage_company_account"": 0, ""is_access_company_activity_log"": 0}",128.94.9.45,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",2025-12-30 17:14:37,2025-12-30 17:14:37
16,264,user_access_rights_updated,user,276,Test  User updated access rights for Tes User Minhas,"{""locations"": null, ""is_manage_team"": 0, ""is_access_tasks"": 0, ""is_manage_forms"": 0, ""is_access_contacts"": 0, ""is_access_dashboard"": 1, ""is_access_locations"": 0, ""is_access_case_manager"": 0, ""is_manage_alert_settings"": 0, ""is_manage_location_users"": 0, ""is_manage_company_account"": 0, ""is_access_company_activity_log"": 0}","{""locations"": null, ""is_manage_team"": 0, ""is_access_tasks"": 0, ""is_manage_forms"": 0, ""is_access_contacts"": 0, ""is_access_dashboard"": ""0"", ""is_access_locations"": 0, ""is_access_case_manager"": 0, ""is_manage_alert_settings"": 0, ""is_manage_location_users"": 0, ""is_manage_company_account"": 0, ""is_access_company_activity_log"": 0}",128.94.9.45,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",2025-12-30 17:15:33,2025-12-30 17:15:33
17,264,profile_updated,profile,189,Updated profile: Test Profile,"{""profile_name"": ""Test Profile"", ""is_manage_team"": 0, ""is_access_tasks"": 0, ""is_manage_forms"": 0, ""task_access_type"": [""own_tasks""], ""task_access_users"": null, ""is_access_contacts"": 0, ""is_access_dashboard"": 1, ""is_access_locations"": 0, ""is_access_case_manager"": 0, ""is_manage_alert_settings"": 0, ""is_manage_location_users"": 0, ""is_manage_company_account"": 0, ""task_access_assigned_sites"": null, ""is_access_company_activity_log"": 0}","{""profile_name"": ""Test Profile"", ""is_manage_team"": false, ""is_access_tasks"": false, ""is_manage_forms"": false, ""task_access_type"": [""own_tasks""], ""task_access_users"": null, ""is_access_contacts"": false, ""is_access_dashboard"": false, ""is_access_locations"": false, ""is_access_case_manager"": false, ""is_manage_alert_settings"": false, ""is_manage_location_users"": false, ""is_manage_company_account"": false, ""task_access_assigned_sites"": null, ""is_access_company_activity_log"": false}",128.94.9.45,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",2025-12-30 17:19:27,2025-12-30 17:19:27
18,264,user_access_rights_updated,user,276,Test  User updated access rights for Access Rights Testing,"{""locations"": null, ""is_manage_team"": 0, ""is_access_tasks"": 0, ""is_manage_forms"": 0, ""is_access_contacts"": 0, ""is_access_dashboard"": 1, ""is_access_locations"": 0, ""is_access_case_manager"": 0, ""is_manage_alert_settings"": 0, ""is_manage_location_users"": 0, ""is_manage_company_account"": 0, ""is_access_company_activity_log"": 0}","{""locations"": null, ""is_manage_team"": 0, ""is_access_tasks"": 0, ""is_manage_forms"": 0, ""is_access_contacts"": 0, ""is_access_dashboard"": ""0"", ""is_access_locations"": 0, ""is_access_case_manager"": 0, ""is_manage_alert_settings"": 0, ""is_manage_location_users"": 0, ""is_manage_company_account"": 0, ""is_access_company_activity_log"": 0}",128.94.9.45,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",2025-12-30 17:19:38,2025-12-30 17:19:38
19,264,user_access_rights_updated,user,276,Test  User updated access rights for Access Rights Testing,"{""locations"": null, ""is_manage_team"": 0, ""is_access_tasks"": 0, ""is_manage_forms"": 0, ""is_access_contacts"": 0, ""is_access_dashboard"": 1, ""is_access_locations"": 0, ""is_access_case_manager"": 0, ""is_manage_alert_settings"": 0, ""is_manage_location_users"": 0, ""is_manage_company_account"": 0, ""is_access_company_activity_log"": 0}","{""locations"": null, ""is_manage_team"": 0, ""is_access_tasks"": 0, ""is_manage_forms"": 0, ""is_access_contacts"": 0, ""is_access_dashboard"": ""1"", ""is_access_locations"": 0, ""is_access_case_manager"": 0, ""is_manage_alert_settings"": 0, ""is_manage_location_users"": 0, ""is_manage_company_account"": 0, ""is_access_company_activity_log"": 0}",128.94.9.45,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",2025-12-30 17:21:28,2025-12-30 17:21:28
20,264,user_access_rights_updated,user,276,Test  User updated access rights for Access Rights Testing,"{""locations"": null, ""is_manage_team"": 0, ""is_access_tasks"": 0, ""is_manage_forms"": 0, ""is_access_contacts"": 0, ""is_access_dashboard"": 1, ""is_access_locations"": 0, ""is_access_case_manager"": 0, ""is_manage_alert_settings"": 0, ""is_manage_location_users"": 0, ""is_manage_company_account"": 0, ""is_access_company_activity_log"": 0}","{""locations"": null, ""is_manage_team"": 0, ""is_access_tasks"": 0, ""is_manage_forms"": 0, ""is_access_contacts"": 0, ""is_access_dashboard"": ""0"", ""is_access_locations"": 0, ""is_access_case_manager"": 0, ""is_manage_alert_settings"": 0, ""is_manage_location_users"": 0, ""is_manage_company_account"": 0, ""is_access_company_activity_log"": 0}",128.94.9.45,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",2025-12-30 17:21:52,2025-12-30 17:21:52
