id,head_office_user_id,graph_type,show_all_sites,created_at,updated_at
1,68,1,0,2025-06-10 11:16:49,2025-06-10 11:16:49
2,68,4,0,2025-06-10 11:16:50,2025-06-10 11:16:50
3,68,5,0,2025-06-10 11:16:54,2025-06-10 11:16:54
4,68,7,0,2025-06-10 11:16:55,2025-06-10 11:16:55
5,65,1,0,2025-06-10 11:20:24,2025-06-10 11:20:24
6,65,4,0,2025-06-10 11:20:24,2025-06-10 11:20:24
7,65,5,0,2025-06-10 11:20:25,2025-06-10 11:20:25
8,65,7,0,2025-06-10 11:20:27,2025-06-10 11:20:27
17,68,3,0,2025-06-24 12:49:49,2025-06-24 12:49:49
18,68,5,0,2025-06-24 12:49:49,2025-06-24 12:49:49
20,116,1,0,2025-09-06 14:13:26,2025-09-06 14:13:26
21,236,1,0,2025-09-11 13:58:08,2025-09-11 13:58:08
22,93,58,0,2025-09-17 21:26:52,2025-09-17 21:26:52
23,93,57,0,2025-09-19 16:18:50,2025-09-19 16:18:50
24,81,1,0,2025-09-22 20:20:23,2025-09-22 20:20:23
25,81,2,0,2025-09-22 20:20:23,2025-09-22 20:20:23
26,81,3,0,2025-09-22 20:20:23,2025-09-22 20:20:23
27,81,4,0,2025-09-22 20:20:23,2025-09-22 20:20:23
28,81,5,0,2025-09-22 20:20:23,2025-09-22 20:20:23
29,81,6,0,2025-09-22 20:20:23,2025-09-22 20:20:23
