id,user_type_id,user_type_category_id,head_office_id,created_at,updated_at
1,1210,1,36,2025-03-14 11:49:27,2025-03-14 11:49:27
5,583,3,36,2025-03-16 09:12:00,2025-03-16 09:12:00
6,1228,15,36,2025-03-16 13:44:29,2025-03-16 13:44:29
7,1209,1,36,2025-03-16 15:03:39,2025-03-16 15:03:39
8,1209,15,36,2025-03-16 15:03:42,2025-03-16 15:03:42
9,1209,17,36,2025-03-16 15:03:46,2025-03-16 15:03:46
11,1209,19,36,2025-03-16 15:03:48,2025-03-16 15:03:48
12,1209,20,36,2025-03-16 15:03:48,2025-03-16 15:03:48
13,1209,21,36,2025-03-16 15:03:48,2025-03-16 15:03:48
14,1209,22,36,2025-03-16 15:03:53,2025-03-16 15:03:53
15,1209,23,36,2025-03-16 15:03:53,2025-03-16 15:03:53
16,1209,24,36,2025-03-16 15:03:53,2025-03-16 15:03:53
17,1209,25,36,2025-03-16 15:03:53,2025-03-16 15:03:53
18,1209,26,36,2025-03-16 15:03:53,2025-03-16 15:03:53
19,1209,27,36,2025-03-16 15:03:53,2025-03-16 15:03:53
20,1209,28,36,2025-03-16 15:03:59,2025-03-16 15:03:59
21,1209,29,36,2025-03-16 15:03:59,2025-03-16 15:03:59
22,1209,30,36,2025-03-16 15:03:59,2025-03-16 15:03:59
24,603,33,37,2025-03-17 02:11:33,2025-03-17 02:11:33
25,917,5,37,2025-03-17 02:13:40,2025-03-17 02:13:40
