id,user_type_id,head_office_id,can_select_multiple,created_at,updated_at,also_ask_if
1,604,36,0,2025-03-14 11:22:38,2025-03-16 14:03:43,
2,1210,36,1,2025-03-14 11:46:45,2025-03-14 11:46:45,
4,1211,36,1,2025-03-14 13:06:04,2025-03-14 13:06:04,
6,1228,36,1,2025-03-16 13:43:44,2025-03-16 13:43:44,
7,1209,36,0,2025-03-16 15:02:39,2025-03-18 10:58:38,
9,604,37,1,2025-03-17 02:39:00,2025-03-17 02:39:00,
11,916,36,1,2025-03-18 10:48:21,2025-03-18 10:48:21,
12,57,43,1,2025-03-20 23:54:48,2025-03-20 23:54:48,
13,603,37,,2025-03-23 21:54:10,2025-03-23 21:54:10,1224
14,603,37,,2025-03-23 21:54:10,2025-03-23 21:54:10,1225
15,1224,37,,2025-03-23 22:13:13,2025-03-23 22:13:13,603
16,1224,37,,2025-03-23 22:13:13,2025-03-23 22:13:13,917
19,1225,37,,2025-03-23 22:13:41,2025-03-23 22:13:41,603
20,1225,37,,2025-03-23 22:13:41,2025-03-23 22:13:41,917
21,1226,37,,2025-03-23 22:13:52,2025-03-23 22:13:52,603
22,1226,37,,2025-03-23 22:13:52,2025-03-23 22:13:52,917
23,1233,37,,2025-03-23 22:14:10,2025-03-23 22:14:10,917
24,1223,37,,2025-03-23 22:14:41,2025-03-23 22:14:41,917
28,1230,37,,2025-03-24 12:55:33,2025-03-24 12:55:33,603
29,1230,37,,2025-03-24 12:55:33,2025-03-24 12:55:33,917
